Effective Sparsity,Activation Error,Baseline Error,q,k,v,o,gate,up,down
0.004145077720207254,0.0245361328125,0.11865234375,0.0,0.0,0.0,0.0,0.0,0.0,0.018604651162790697
0.008290155440414507,0.048095703125,0.12890625,0.0,0.0,0.0,0.0,0.0,0.0,0.037209302325581395
0.012435233160621761,0.0693359375,0.138671875,0.0,0.0,0.0,0.0,0.0,0.0,0.05581395348837209
0.016580310880829015,0.09033203125,0.1494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.07441860465116279
0.02072538860103627,0.1103515625,0.16015625,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349
0.024870466321243522,0.1259765625,0.171875,0.0,0.0,0.0,0.0,0.018604651162790697,0.0,0.09302325581395349
0.029015544041450774,0.140625,0.1845703125,0.0,0.0,0.0,0.0,0.018604651162790697,0.018604651162790697,0.09302325581395349
0.03316062176165803,0.154296875,0.197265625,0.0,0.0,0.0,0.0,0.018604651162790697,0.018604651162790697,0.11162790697674418
0.03730569948186529,0.1689453125,0.2109375,0.0,0.0,0.0,0.05,0.018604651162790697,0.018604651162790697,0.11162790697674418
0.04145077720207254,0.1826171875,0.2255859375,0.0,0.05,0.0,0.05,0.018604651162790697,0.018604651162790697,0.11162790697674418
0.0455958549222798,0.1953125,0.240234375,0.0,0.05,0.05,0.05,0.018604651162790697,0.018604651162790697,0.11162790697674418
0.049740932642487044,0.20703125,0.255859375,0.0,0.05,0.05,0.1,0.018604651162790697,0.018604651162790697,0.11162790697674418
0.0538860103626943,0.2177734375,0.271484375,0.0,0.05,0.05,0.1,0.037209302325581395,0.018604651162790697,0.11162790697674418
0.05803108808290155,0.228515625,0.2890625,0.0,0.05,0.05,0.1,0.037209302325581395,0.018604651162790697,0.13023255813953488
0.06217616580310881,0.240234375,0.30859375,0.0,0.1,0.05,0.1,0.037209302325581395,0.018604651162790697,0.13023255813953488
0.06632124352331606,0.251953125,0.328125,0.05,0.1,0.05,0.1,0.037209302325581395,0.018604651162790697,0.13023255813953488
0.07046632124352331,0.263671875,0.34765625,0.05,0.1,0.05,0.1,0.037209302325581395,0.037209302325581395,0.13023255813953488
0.07461139896373058,0.275390625,0.369140625,0.05,0.1,0.05,0.1,0.037209302325581395,0.037209302325581395,0.14883720930232558
0.07875647668393783,0.2890625,0.390625,0.05,0.1,0.05,0.15000000000000002,0.037209302325581395,0.037209302325581395,0.14883720930232558
0.08290155440414508,0.302734375,0.4140625,0.05,0.1,0.05,0.15000000000000002,0.037209302325581395,0.037209302325581395,0.16744186046511628
0.08704663212435233,0.31640625,0.435546875,0.05,0.1,0.05,0.15000000000000002,0.05581395348837209,0.037209302325581395,0.16744186046511628
0.0911917098445596,0.333984375,0.462890625,0.05,0.15000000000000002,0.05,0.15000000000000002,0.05581395348837209,0.037209302325581395,0.16744186046511628
0.09533678756476685,0.349609375,0.486328125,0.05,0.15000000000000002,0.1,0.15000000000000002,0.05581395348837209,0.037209302325581395,0.16744186046511628
0.0994818652849741,0.365234375,0.51171875,0.05,0.15000000000000002,0.1,0.15000000000000002,0.05581395348837209,0.037209302325581395,0.18604651162790697
0.10362694300518134,0.380859375,0.5390625,0.05,0.15000000000000002,0.1,0.2,0.05581395348837209,0.037209302325581395,0.18604651162790697
0.1077720207253886,0.3984375,0.56640625,0.05,0.15000000000000002,0.1,0.2,0.05581395348837209,0.05581395348837209,0.18604651162790697
0.11191709844559586,0.416015625,0.59375,0.05,0.15000000000000002,0.1,0.2,0.05581395348837209,0.05581395348837209,0.20465116279069767
0.1160621761658031,0.435546875,0.62890625,0.05,0.15000000000000002,0.1,0.2,0.07441860465116279,0.05581395348837209,0.20465116279069767
0.12020725388601036,0.455078125,0.65625,0.05,0.15000000000000002,0.1,0.2,0.07441860465116279,0.05581395348837209,0.22325581395348837
0.12435233160621761,0.4765625,0.6875,0.1,0.15000000000000002,0.1,0.2,0.07441860465116279,0.05581395348837209,0.22325581395348837
0.12849740932642487,0.49609375,0.71875,0.1,0.15000000000000002,0.1,0.25,0.07441860465116279,0.05581395348837209,0.22325581395348837
0.13264248704663212,0.51953125,0.75,0.1,0.2,0.1,0.25,0.07441860465116279,0.05581395348837209,0.22325581395348837
0.13678756476683937,0.5390625,0.78125,0.1,0.2,0.1,0.25,0.07441860465116279,0.05581395348837209,0.24186046511627907
0.14093264248704665,0.5625,0.81640625,0.1,0.2,0.15000000000000002,0.25,0.07441860465116279,0.05581395348837209,0.24186046511627907
0.14507772020725387,0.5859375,0.8515625,0.1,0.2,0.15000000000000002,0.25,0.09302325581395349,0.05581395348837209,0.24186046511627907
