Effective Sparsity,Activation Error,Baseline Error,q,k,v,o,gate,up,down
0.00196078431372549,0.0009527206420898438,0.0012216567993164062,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143
0.00392156862745098,0.00099945068359375,0.001354217529296875,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285
0.0058823529411764705,0.0011301040649414062,0.0015020370483398438,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.014285714285714285
0.00784313725490196,0.0012331008911132812,0.0016641616821289062,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.02142857142857143
0.00980392156862745,0.0013322830200195312,0.0018510818481445312,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.02142857142857143
0.011764705882352941,0.0014982223510742188,0.0020656585693359375,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.02857142857142857
0.013725490196078431,0.001743316650390625,0.0023059844970703125,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.03571428571428571
0.01568627450980392,0.001979827880859375,0.0025768280029296875,0.0,0.0,0.0,0.0,0.014285714285714285,0.007142857142857143,0.03571428571428571
0.01764705882352941,0.0022563934326171875,0.0028781890869140625,0.0,0.0,0.0,0.0,0.014285714285714285,0.007142857142857143,0.04285714285714286
0.0196078431372549,0.0025157928466796875,0.003208160400390625,0.0,0.0,0.0,0.025,0.014285714285714285,0.007142857142857143,0.04285714285714286
0.021568627450980395,0.002742767333984375,0.00356292724609375,0.0,0.0,0.0,0.025,0.014285714285714285,0.014285714285714285,0.04285714285714286
0.023529411764705882,0.0030384063720703125,0.0039520263671875,0.025,0.0,0.0,0.025,0.014285714285714285,0.014285714285714285,0.04285714285714286
0.025490196078431372,0.003307342529296875,0.004364013671875,0.025,0.0,0.0,0.025,0.014285714285714285,0.014285714285714285,0.05
0.027450980392156862,0.0035991668701171875,0.004802703857421875,0.025,0.0,0.0,0.025,0.02142857142857143,0.014285714285714285,0.05
0.029411764705882353,0.0039043426513671875,0.0052642822265625,0.025,0.0,0.0,0.05,0.02142857142857143,0.014285714285714285,0.05
0.03137254901960784,0.00420379638671875,0.00574493408203125,0.025,0.0,0.0,0.05,0.02142857142857143,0.014285714285714285,0.05714285714285715
0.03333333333333334,0.004581451416015625,0.006256103515625,0.025,0.0,0.0,0.05,0.02142857142857143,0.014285714285714285,0.0642857142857143
0.03529411764705883,0.00493621826171875,0.00677490234375,0.025,0.0,0.0,0.05,0.02142857142857143,0.02142857142857143,0.0642857142857143
0.03725490196078431,0.00533294677734375,0.00732421875,0.025,0.0,0.0,0.05,0.02857142857142857,0.02142857142857143,0.0642857142857143
0.0392156862745098,0.00572967529296875,0.0078887939453125,0.025,0.0,0.0,0.05,0.02857142857142857,0.02142857142857143,0.07142857142857144
0.04117647058823531,0.006153106689453125,0.0084686279296875,0.025,0.0,0.0,0.07500000000000001,0.02857142857142857,0.02142857142857143,0.07142857142857144
0.04313725490196079,0.0065765380859375,0.00907135009765625,0.05,0.0,0.0,0.07500000000000001,0.02857142857142857,0.02142857142857143,0.07142857142857144
0.045098039215686274,0.006992340087890625,0.0096893310546875,0.05,0.0,0.0,0.07500000000000001,0.02857142857142857,0.02142857142857143,0.07857142857142858
0.04705882352941177,0.007472991943359375,0.01031494140625,0.05,0.0,0.0,0.07500000000000001,0.03571428571428571,0.02142857142857143,0.07857142857142858
0.049019607843137254,0.00792694091796875,0.01096343994140625,0.05,0.0,0.0,0.07500000000000001,0.03571428571428571,0.02857142857142857,0.07857142857142858
