Effective Sparsity,Activation Error,Baseline Error,q,k,v,o,gate,up,down
0.00196078431372549,0.0028972625732421875,0.00336456298828125,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143
0.00392156862745098,0.003070831298828125,0.0037384033203125,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285
0.0058823529411764705,0.003414154052734375,0.004154205322265625,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.014285714285714285
0.00784313725490196,0.0037059783935546875,0.00461578369140625,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.014285714285714285
0.00980392156862745,0.003971099853515625,0.005123138427734375,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.02142857142857143
0.011764705882352941,0.00443267822265625,0.005680084228515625,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.02857142857142857
0.013725490196078431,0.004856109619140625,0.006290435791015625,0.0,0.0,0.0,0.025,0.007142857142857143,0.007142857142857143,0.02857142857142857
0.01568627450980392,0.005443572998046875,0.006954193115234375,0.0,0.0,0.0,0.025,0.007142857142857143,0.007142857142857143,0.03571428571428571
0.01764705882352941,0.00595855712890625,0.00768280029296875,0.0,0.0,0.0,0.025,0.014285714285714285,0.007142857142857143,0.03571428571428571
0.0196078431372549,0.00655364990234375,0.00848388671875,0.0,0.0,0.0,0.025,0.014285714285714285,0.014285714285714285,0.03571428571428571
0.021568627450980395,0.007152557373046875,0.0093536376953125,0.0,0.0,0.0,0.025,0.014285714285714285,0.014285714285714285,0.04285714285714286
0.023529411764705882,0.007720947265625,0.01027679443359375,0.0,0.0,0.0,0.05,0.014285714285714285,0.014285714285714285,0.04285714285714286
0.025490196078431372,0.008453369140625,0.011260986328125,0.0,0.0,0.0,0.05,0.014285714285714285,0.014285714285714285,0.05
0.027450980392156862,0.00916290283203125,0.01230621337890625,0.025,0.0,0.0,0.05,0.014285714285714285,0.014285714285714285,0.05
0.029411764705882353,0.009796142578125,0.013397216796875,0.025,0.0,0.0,0.07500000000000001,0.014285714285714285,0.014285714285714285,0.05
0.03137254901960784,0.01045989990234375,0.01454925537109375,0.025,0.0,0.0,0.07500000000000001,0.02142857142857143,0.014285714285714285,0.05
0.03333333333333333,0.0112152099609375,0.0157623291015625,0.025,0.0,0.0,0.07500000000000001,0.02142857142857143,0.014285714285714285,0.05714285714285715
0.03529411764705882,0.0120391845703125,0.0170135498046875,0.025,0.0,0.0,0.07500000000000001,0.02142857142857143,0.02142857142857143,0.05714285714285715
0.03725490196078431,0.01287841796875,0.0183563232421875,0.025,0.0,0.0,0.1,0.02142857142857143,0.02142857142857143,0.05714285714285715
