Effective Sparsity,Activation Error,Baseline Error,q,k,v,o,gate,up,down
0.003846153846153846,0.002532958984375,0.0026702880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285
0.007692307692307692,0.0025634765625,0.0029754638671875,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857
0.011538461538461537,0.00262451171875,0.0034332275390625,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.02857142857142857
0.015384615384615384,0.002716064453125,0.00372314453125,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.02857142857142857
0.019230769230769232,0.002777099609375,0.003997802734375,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.04285714285714286
0.023076923076923075,0.0029449462890625,0.004241943359375,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.05714285714285714
0.02692307692307692,0.003173828125,0.0045166015625,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.07142857142857142
0.03076923076923077,0.00341796875,0.0047607421875,0.0,0.0,0.0,0.0,0.02857142857142857,0.014285714285714285,0.07142857142857142
0.03461538461538461,0.0036773681640625,0.005035400390625,0.0,0.0,0.0,0.0,0.02857142857142857,0.014285714285714285,0.08571428571428572
0.038461538461538464,0.00390625,0.005340576171875,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.08571428571428572
0.04230769230769231,0.004241943359375,0.005645751953125,0.0,0.0,0.0,0.0,0.04285714285714286,0.02857142857142857,0.08571428571428572
0.04615384615384616,0.004547119140625,0.0059814453125,0.0,0.0,0.0,0.0,0.04285714285714286,0.02857142857142857,0.1
0.05,0.0048828125,0.006317138671875,0.0,0.0,0.0,0.0,0.04285714285714286,0.02857142857142857,0.1142857142857143
0.05384615384615384,0.0052490234375,0.006683349609375,0.0,0.0,0.0,0.0,0.04285714285714286,0.04285714285714286,0.1142857142857143
0.057692307692307696,0.005615234375,0.007049560546875,0.0,0.0,0.0,0.0,0.05714285714285714,0.04285714285714286,0.1142857142857143
0.06153846153846154,0.0059814453125,0.007415771484375,0.0,0.0,0.0,0.0,0.05714285714285714,0.04285714285714286,0.1285714285714286
