Effective Sparsity,Activation Error,Baseline Error,q,k,v,o,gate,up,down
0.004145077720207254,0.007537841796875,0.0267333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.018604651162790697
0.008290155440414507,0.0152587890625,0.033935546875,0.0,0.0,0.0,0.0,0.0,0.0,0.037209302325581395
0.012435233160621761,0.0223388671875,0.037109375,0.0,0.0,0.0,0.0,0.0,0.0,0.05581395348837209
0.016580310880829015,0.027099609375,0.039794921875,0.0,0.0,0.0,0.0,0.018604651162790697,0.0,0.05581395348837209
0.02072538860103627,0.0303955078125,0.042724609375,0.0,0.0,0.0,0.0,0.018604651162790697,0.018604651162790697,0.05581395348837209
0.024870466321243526,0.03466796875,0.04541015625,0.0,0.0,0.0,0.0,0.018604651162790697,0.018604651162790697,0.07441860465116279
0.02901554404145078,0.039794921875,0.048583984375,0.0,0.0,0.0,0.0,0.037209302325581395,0.018604651162790697,0.07441860465116279
0.03316062176165803,0.044189453125,0.0517578125,0.0,0.0,0.0,0.05,0.037209302325581395,0.018604651162790697,0.07441860465116279
0.03730569948186529,0.048095703125,0.054931640625,0.0,0.0,0.0,0.05,0.037209302325581395,0.037209302325581395,0.07441860465116279
0.04145077720207254,0.0517578125,0.05859375,0.0,0.0,0.0,0.05,0.037209302325581395,0.037209302325581395,0.09302325581395349
0.0455958549222798,0.05615234375,0.0625,0.0,0.0,0.05,0.05,0.037209302325581395,0.037209302325581395,0.09302325581395349
0.049740932642487044,0.059326171875,0.06640625,0.0,0.05,0.05,0.05,0.037209302325581395,0.037209302325581395,0.09302325581395349
0.0538860103626943,0.0625,0.07080078125,0.0,0.05,0.05,0.1,0.037209302325581395,0.037209302325581395,0.09302325581395349
0.05803108808290155,0.06689453125,0.0751953125,0.05,0.05,0.05,0.1,0.037209302325581395,0.037209302325581395,0.09302325581395349
0.06217616580310881,0.07080078125,0.07958984375,0.05,0.1,0.05,0.1,0.037209302325581395,0.037209302325581395,0.09302325581395349
0.06632124352331606,0.07470703125,0.0849609375,0.05,0.1,0.05,0.1,0.037209302325581395,0.037209302325581395,0.11162790697674418
0.07046632124352332,0.07861328125,0.09033203125,0.05,0.1,0.05,0.1,0.05581395348837209,0.037209302325581395,0.11162790697674418
0.07461139896373056,0.08349609375,0.095703125,0.05,0.1,0.05,0.15000000000000002,0.05581395348837209,0.037209302325581395,0.11162790697674418
0.07875647668393781,0.08837890625,0.1015625,0.05,0.1,0.05,0.15000000000000002,0.05581395348837209,0.05581395348837209,0.11162790697674418
0.08290155440414508,0.0927734375,0.107421875,0.05,0.1,0.05,0.15000000000000002,0.05581395348837209,0.05581395348837209,0.13023255813953488
0.08704663212435233,0.09765625,0.11376953125,0.05,0.1,0.1,0.15000000000000002,0.05581395348837209,0.05581395348837209,0.13023255813953488
0.0911917098445596,0.1025390625,0.11962890625,0.05,0.15000000000000002,0.1,0.15000000000000002,0.05581395348837209,0.05581395348837209,0.13023255813953488
0.09533678756476685,0.10791015625,0.126953125,0.05,0.15000000000000002,0.1,0.15000000000000002,0.07441860465116279,0.05581395348837209,0.13023255813953488
0.09948186528497409,0.11328125,0.1337890625,0.1,0.15000000000000002,0.1,0.15000000000000002,0.07441860465116279,0.05581395348837209,0.13023255813953488
0.10362694300518134,0.1181640625,0.1416015625,0.1,0.15000000000000002,0.1,0.15000000000000002,0.07441860465116279,0.05581395348837209,0.14883720930232558
0.1077720207253886,0.12451171875,0.1494140625,0.1,0.15000000000000002,0.1,0.2,0.07441860465116279,0.05581395348837209,0.14883720930232558
